amfi_code,benchmark,alpha,beta
100016,NIFTY100,0.03747580763443281,-0.0582684314388089
100016,NIFTY50,0.03622082583927385,-0.02590940576586108
100025,NIFTY100,0.042817920315060876,0.0011582183155281463
100025,NIFTY50,0.043189313078713834,-0.0161756408512603
100033,NIFTY100,0.2719535450128533,0.0051035258305283104
100033,NIFTY50,0.2723430403957973,-0.011199710059456146
101206,NIFTY100,0.21399784776051212,0.02108631625012803
101206,NIFTY50,0.2139447485061358,0.03381398454659163
101207,NIFTY100,0.10897091901704538,-0.06528924788351524
101207,NIFTY50,0.10820454812152297,-0.059855845864600625
101208,NIFTY100,0.060861457957871144,0.00026670968338238433
101208,NIFTY50,0.06084211292226629,0.0013273169546884351
102885,NIFTY100,0.17048756803412696,-0.019486785689474526
102885,NIFTY50,0.16992711557794749,-0.0018841874054637252
102886,NIFTY100,0.028969397866379445,-0.04212502902189432
102886,NIFTY50,0.028949366251249286,-0.061476067471883084
102887,NIFTY100,0.16211256794033255,0.016682689437770827
102887,NIFTY50,0.16179316452470288,0.04011620562000178
118632,NIFTY100,0.21829397904608644,-0.008353832126962021
118632,NIFTY50,0.21728068775563278,0.03643421773147288
118633,NIFTY100,0.15643835948169668,-0.03663900671860934
118633,NIFTY50,0.15503795076034138,0.013157652619096481
118634,NIFTY100,0.1750072167561127,0.1034966369133759
118634,NIFTY50,0.1780020912356628,0.009128170084160621
118635,NIFTY100,0.1513635464823924,-0.001433521389780133
118635,NIFTY50,0.15160602363545675,-0.013806609371555967
118636,NIFTY100,0.05074772999976104,0.0012566742731558458
118636,NIFTY50,0.05096267106480351,-0.008492388448091663
119092,NIFTY100,0.0689952982167755,0.009730745001153637
119092,NIFTY50,0.0697017081135713,-0.019608739866468185
119093,NIFTY100,0.08232801295222093,0.02588321244009315
119093,NIFTY50,0.08329931222337687,-0.008427720099019357
119094,NIFTY100,0.2607666908004223,-0.06626542862803757
119094,NIFTY50,0.25997054053321056,-0.05986815058386661
119095,NIFTY100,0.048015953637759554,-0.066951174639292
119095,NIFTY50,0.045680128064692294,0.013291723470735529
119120,NIFTY100,0.05620895216638369,-0.006413850728276477
119120,NIFTY50,0.055762723198290544,0.011990672594122526
119551,NIFTY100,0.23201007160635082,-0.03175144113890972
119551,NIFTY50,0.23219648016717326,-0.05604508562674625
119552,NIFTY100,0.1986859936686296,-0.026159307513513405
119552,NIFTY50,0.1982932218749148,-0.01985302504967574
119598,NIFTY100,0.3033696538698332,-0.023196062044059693
119598,NIFTY50,0.3011144193310002,0.07426648483802883
119599,NIFTY100,0.048824215945539845,0.06200180438267168
119599,NIFTY50,0.050572431452751046,0.007680982959652928
120503,NIFTY100,0.17703302365844073,-0.0402689523698206
120503,NIFTY50,0.17587937785242744,-0.004111147836045636
120504,NIFTY100,0.2119482701352573,0.016232169761417007
120504,NIFTY50,0.2120943009940057,0.017025361766949257
120505,NIFTY100,0.2926358334175106,0.000549004250631712
120505,NIFTY50,0.29301371282563315,-0.017391171743071674
120506,NIFTY100,0.1625385327998104,0.04189646272811977
120506,NIFTY50,0.16283731486753183,0.04770801520256509
120507,NIFTY100,0.06746210411099539,-0.0004440926329707234
120507,NIFTY50,0.06747180157927476,-0.0011254611770458527
120841,NIFTY100,0.13042924450705445,0.036356399022199795
120841,NIFTY50,0.13068278268538389,0.04167578236653616
120842,NIFTY100,0.0780443887615508,0.01805687420811816
120842,NIFTY50,0.0785865149291694,0.0006475555544426223
120843,NIFTY100,0.27330465038306057,-0.02282956979242654
120843,NIFTY50,0.2727835993505962,-0.008737359353900992
120844,NIFTY100,0.06455677495375998,-0.00040074423947840013
120844,NIFTY50,0.06454601487990588,-7.563158272733894e-05
125497,NIFTY100,0.17729754927531766,0.04882040425957739
125497,NIFTY50,0.1789129568352085,-0.005459316559048835
125498,NIFTY100,0.11989100971217971,0.009054412621739154
125498,NIFTY50,0.12055386350487392,-0.01851286878959152
148567,NIFTY100,0.2698375144191807,0.023683558075848623
148567,NIFTY50,0.2711501636821103,-0.028133312231657458
148568,NIFTY100,0.20873010086942337,-0.026387719943843004
148568,NIFTY50,0.2079171509667248,5.11619674095988e-05
148569,NIFTY100,0.2827036785246582,0.018133884083859245
148569,NIFTY50,0.28347336470728673,-0.010201365088271732
149322,NIFTY100,0.13173190226099432,-0.004050271130006534
149322,NIFTY50,0.13129906992674878,0.014848756863667921
149323,NIFTY100,0.26598577542043045,-0.002523004664699247
149323,NIFTY50,0.26583594480787764,0.003478530079790704
149324,NIFTY100,0.3005787817097677,0.011455159960520708
149324,NIFTY50,0.2981786893056835,0.13260808824054152
